PassengerId,Survived,Pclass,Name,Sex,Age,Fare,Embarked

1,0,3,John Smith,male,22,7.25,S

2,1,1,Emma Wilson,female,38,71.28,C

3,1,3,Liam Brown,female,26,7.92,S

4,1,1,Olivia Davis,female,35,53.10,S

5,0,3,Noah Miller,male,8.05,S

6,0,3,Ava Taylor,male,28,8.46,Q

7,0,1,William Anderson,male,54,51.86,S

8,0,3,Sophia Thomas,male,2,21.08,S

9,1,3,James Moore,female,27,11.13,S

10,1,2,Isabella Martin,female,14,30.07,C

11,1,1,Benjamin Lee,female,58,26.55,S

12,0,3,Mia Harris,male,20,8.05,S

13,0,3,Lucas Clark,male,39,8.05,S

14,1,2,Charlotte Lewis,female,30,13.00,S

15,1,2,Henry Walker,female,24,16.00,Q

16,0,3,Amelia Hall,male,45,8.46,S

17,1,1,Alexander Young,male,4,41.58,C

18,0,3,Evelyn Allen,female,31,7.75,S

19,1,1,Daniel King,female,,69.30,C

20,0,3,Grace Wright,male,19,7.90,
